year,region,HistAverage
2019.0,Львівська область,139.96986321960017
2020.0,м.Київ,138.20511470477624
2019.0,Сумська область,135.93597312703582
2019.0,Дніпропетровська область,134.26583954833762
2019.0,Івано-Франківська область,135.02527025129862
2019.0,Запорізька область,133.23943905817174
2019.0,Київська область,136.60156965336822
2020.0,Львівська область,141.27651144154572
2019.0,Харківська область,138.54407596371883
2019.0,Закарпатська область,127.70581133290406
2020.0,Чернівецька область,133.4536685179772
2019.0,Миколаївська область,131.9119197243057
2020.0,Донецька область,131.56607400288323
2020.0,Волинська область,135.28752515090542
2020.0,Івано-Франківська область,136.67460983386474
2020.0,Чернігівська область,134.79443511633485
2020.0,Запорізька область,130.9957777777778
2020.0,Кіровоградська область,132.492413398225
2020.0,Харківська область,135.19580970384374
2020.0,Вінницька область,133.5556752873563
2019.0,Донецька область,135.47051316496507
2020.0,Луганська область,132.05077096652877
2020.0,Миколаївська область,130.3373423633816
2020.0,Полтавська область,133.14858490566039
2019.0,Луганська область,134.04959746981024
2019.0,Рівненська область,133.2726971942827
2019.0,Хмельницька область,136.5789821061895
2019.0,Чернівецька область,131.09225395520855
2020.0,Сумська область,134.7534175909208
2019.0,Чернігівська область,136.54666535122337
2019.0,Волинська область,136.15083459787556
2020.0,Рівненська область,135.56704438149197
2019.0,Вінницька область,134.4660043093129
2019.0,Полтавська область,135.86556390977444
2020.0,Житомирська область,132.63088477743176
2019.0,м.Київ,140.67435493806036
2020.0,Одеська область,131.22230778343797
2020.0,Тернопільська область,137.95628358825962
2020.0,Хмельницька область,135.61062185478073
2020.0,Дніпропетровська область,131.9294154968673
2019.0,Черкаська область,137.6746349269854
2019.0,Херсонська область,132.2094543387647
2020.0,Херсонська область,131.7137818090199
2019.0,Одеська область,133.0147454418651
2019.0,Житомирська область,134.19456198088074
2020.0,Черкаська область,133.82714495489827
2019.0,Кіровоградська область,135.65520882214923
2019.0,Тернопільська область,136.2924379053947
2020.0,Київська область,133.78604684999272
2020.0,Закарпатська область,129.91932013769363
